"Name","Version","Publisher","InstallDate","UninstallCmd"
"Microsoft.Android.Ref.34 (x64)","34.0.95.0","Microsoft Corporation","20240702","MsiExec.exe /X{FD3AAA12-048A-4C8C-9318-371B171D4BB5}"
"Microsoft Workflow Diagnostic Pack for x64","17.10.34803","Microsoft","20240702","MsiExec.exe /I{32721B4A-1696-3189-88EA-14C0490D41A3}"
"Microsoft Workflow Debugger v1.0 for x86","17.0.34804","Microsoft","20240702","MsiExec.exe /I{608BE086-45FA-322F-BC49-7DAD43030452}"
"Microsoft Workflow Debugger v1.0 for amd64","17.0.34804","Microsoft","20240702","MsiExec.exe /I{786727DB-2AF3-3CC3-89A7-423F475EAFEF}"
"Microsoft Windows Desktop Targeting Pack - 8.0.6 (x86)","64.24.15241","Microsoft Corporation","20240702","MsiExec.exe /X{6C7B6C54-E9BE-4915-9B03-3EE8DFCE3CE0}"
"Microsoft Windows Desktop Targeting Pack - 8.0.6 (x64)","64.24.15241","Microsoft Corporation","20240625","MsiExec.exe /X{57F33504-26E0-400A-88BF-08DE38F23925}"
"Microsoft Windows Desktop Targeting Pack - 8.0.4 (x64)","64.16.12024","Microsoft Corporation","20240423","MsiExec.exe /X{E6CB9606-8DE7-4AC8-8C42-313A5AB5F839}"
"Microsoft Windows Desktop Targeting Pack - 6.0.31 (x86)","48.124.15242","Microsoft Corporation","20240702","MsiExec.exe /X{DF210015-38FB-4F95-AEAE-D0FF33C58AF0}"
"Microsoft Windows Desktop Targeting Pack - 6.0.31 (x64)","48.124.15242","Microsoft Corporation","20240702","MsiExec.exe /X{FA74D4F0-3F2B-4245-A209-8817529771EA}"
"Microsoft Windows Desktop Runtime - 8.0.6 (x86)","64.24.15241","Microsoft Corporation","20240702","MsiExec.exe /X{104C6759-B7D6-43A3-8E99-4FAED4C3B6BF}"
"Microsoft Windows Desktop Runtime - 8.0.6 (x64)","64.24.15241","Microsoft Corporation","20240625","MsiExec.exe /X{0EF5DD4D-EC49-4AE7-8C9A-F64FF8B3EA58}"
"Microsoft Windows Desktop Runtime - 8.0.4 (x64)","64.16.12024","Microsoft Corporation","20240423","MsiExec.exe /X{4B91040F-9192-4D51-B1CE-36B959846C8D}"
"Microsoft Windows Desktop Runtime - 6.0.31 (x86)","48.124.15242","Microsoft Corporation","20240702","MsiExec.exe /X{558558E9-EF67-4CC1-8D73-4FE680754D59}"
"Microsoft Windows Desktop Runtime - 6.0.31 (x64)","48.124.15242","Microsoft Corporation","20240702","MsiExec.exe /X{EFE53353-800E-4987-B965-1C968D0F23A4}"
"Microsoft Windows Communication Foundation Diagnostic Pack for x86","17.10.34804","Microsoft","20240702","MsiExec.exe /I{2534D8CB-F4E1-3064-986A-415904EB16BD}"
"Microsoft Web Deploy 4.0","10.0.8305","Microsoft Corporation","20240702","MsiExec.exe /I{82FD8C73-C24D-433C-85A9-48AE93570410}"
"Microsoft Visual Studio Setup WMI Provider","3.9.2148.60653","Microsoft Corporation","20240702","MsiExec.exe /I{0AC39B1B-4AFC-4684-B22C-625848E16C92}"
"Microsoft Visual Studio Setup Configuration","3.9.2148.60653","Microsoft Corporation","20240702","MsiExec.exe /I{6E7D95E1-DA2A-4DED-A8C6-3FBA1714DB62}"
"Microsoft Visual Studio Installer","3.10.2154.60269","Microsoft Corporation","20240702","""C:\Program Files (x86)\Microsoft Visual Studio\Installer\setup.exe"" /uninstall"
"Microsoft Visual Studio Code (User)","1.90.2","Microsoft Corporation","20240625","""C:\Users\Administrator\AppData\Local\Programs\Microsoft VS Code\unins000.exe"""
"Microsoft Visual Studio 2010 Tools for Office Runtime (x64)","10.0.60922","Microsoft Corporation","20240703","MsiExec.exe /X{610487D9-3460-328A-9333-219D43A75CC5}"
"Microsoft Visual C++ 2022 X86 Minimum Runtime - 14.40.33810","14.40.33810","Microsoft Corporation","20240702","MsiExec.exe /I{0C3457A0-3DCE-4A33-BEF0-9B528C557771}"
"Microsoft Visual C++ 2022 X86 Debug Runtime - 14.40.33810","14.40.33810","Microsoft Corporation","20240702","MsiExec.exe /I{A0B90EAF-8FC1-49B2-A7D6-7F9B1FEFDD43}"
"Microsoft Visual C++ 2022 X86 Additional Runtime - 14.40.33810","14.40.33810","Microsoft Corporation","20240702","MsiExec.exe /I{5EA6C998-D5AC-4ED9-89C3-9F25B17CCD3D}"
"Microsoft Visual C++ 2022 X64 Minimum Runtime - 14.40.33810","14.40.33810","Microsoft Corporation","20240702","MsiExec.exe /I{B8B3BB4A-A10D-4F51-91B7-A64FFAC31EA7}"
"Microsoft Visual C++ 2022 X64 Debug Runtime - 14.40.33810","14.40.33810","Microsoft Corporation","20240702","MsiExec.exe /I{3003CC13-9BC4-48D1-95D6-14B2AFE0683B}"
"Microsoft Visual C++ 2022 X64 Additional Runtime - 14.40.33810","14.40.33810","Microsoft Corporation","20240702","MsiExec.exe /I{59CED48F-EBFE-480C-8A38-FC079C2BEC0F}"
"Microsoft Visual C++ 2015-2022 Redistributable (x86) - 14.40.33810","14.40.33810.0","Microsoft Corporation",,"""C:\ProgramData\Package Cache\{47109d57-d746-4f8b-9618-ed6a17cc922b}\VC_redist.x86.exe""  /uninstall"
"Microsoft Visual C++ 2015-2022 Redistributable (x64) - 14.40.33810","14.40.33810.0","Microsoft Corporation",,"""C:\ProgramData\Package Cache\{5af95fd8-a22e-458f-acee-c61bd787178e}\VC_redist.x64.exe""  /uninstall"
"Microsoft Visual C++ 2010  x86 Redistributable - 10.0.40219","10.0.40219","Microsoft Corporation","20240703","MsiExec.exe /X{F0C3E5D1-1ADE-321E-8167-68EF0DE699A5}"
"Microsoft Visual C++ 2010  x64 Redistributable - 10.0.40219","10.0.40219","Microsoft Corporation","20240703","MsiExec.exe /X{1D8E6291-B0D5-35EC-8441-6616F567A0F7}"
"Microsoft UniversalWindowsPlatform SDK","15.9.16","Microsoft","20240702","MsiExec.exe /I{C756420B-C91C-4410-8092-F49C24CEF594}"
"Microsoft TestPlatform SDK Local Feed","17.10.0.9037153","Microsoft","20240702","MsiExec.exe /I{7F86DEBA-AF7D-43F2-8312-DBCB65F116A9}"
"Microsoft System CLR Types for SQL Server 2019","15.0.2000.5","Microsoft Corporation","20240702","MsiExec.exe /I{5BC7E9EB-13E8-45DB-8A60-F2481FEB4595}"
"Microsoft SQL Server 2019 LocalDB ","15.0.4153.1","Microsoft Corporation","20240702","MsiExec.exe /I{36E492B8-CB83-4DA5-A5D2-D99A8E8228A1}"
"Microsoft OneDrive","24.126.0623.0001","Microsoft Corporation",,"""C:\Users\Administrator\AppData\Local\Microsoft\OneDrive\24.126.0623.0001\OneDriveSetup.exe""  /uninstall "
"Microsoft ODBC Driver 17 for SQL Server","17.10.6.1","Microsoft Corporation","20240702","MsiExec.exe /I{0E0F96AC-80DE-4400-A40C-429D63293651}"
"Microsoft NetStandard SDK","15.0.51105","Microsoft Corporation","20240702","MsiExec.exe /I{737FDDA7-B944-4CB5-92D9-3D56373BD301}"
"Microsoft Exchange Web Services Managed API 2.1","15.0.847.30","Microsoft Corporation","20240702","MsiExec.exe /I{24CA683D-8174-4EBF-AD4D-3F2DD7814716}"
"Microsoft Edge WebView2 Runtime","126.0.2592.102","Microsoft Corporation","20240712","""C:\Program Files (x86)\Microsoft\EdgeWebView\Application\126.0.2592.102\Installer\setup.exe"" --uninstall --msedgewebview --system-level --verbose-logging"
"Microsoft Edge Update","1.3.193.5",,,
"Microsoft Edge","126.0.2592.102","Microsoft Corporation","20240713","""C:\Program Files (x86)\Microsoft\Edge\Application\126.0.2592.102\Installer\setup.exe"" --uninstall --msedge --channel=stable --system-level --verbose-logging"
"Microsoft Command Line Utilities 15 for SQL Server","15.0.1300.359","Microsoft Corporation","20240702","MsiExec.exe /I{41C0DB18-1790-465E-B0DD-D9CAA35CACBE}"
"Microsoft Azure PowerShell - April 2018","5.7.0.18831","Microsoft Corporation","20240702","MsiExec.exe /X{3BA7CAA9-97BA-4528-B7E1-B640910BB149}"
"Microsoft Azure Libraries for .NET ? v2.9","3.0.2310.23","Microsoft Corporation","20240702","MsiExec.exe /I{3C188EC3-3DFE-48B1-9C45-D1AF419D534F}"
"Microsoft Azure Compute Emulator - v2.9.7","2.9.8999.43","Microsoft Corporation","02/07/2024","msiexec /x{04ca054c-2f40-44b0-8610-8d51ec9444fe}"
"Microsoft Azure Authoring Tools - v2.9.7","2.9.8999.45","Microsoft Corporation","20240702","MsiExec.exe /I{90462BD2-DF5B-449C-A401-FCC1DC264E4E}"
"Microsoft ASP.NET Web Tools Packages 17.0 - ENU","17.0.40305.0","Microsoft Corporation","20240702","MsiExec.exe /X{987786F9-7B57-3254-9FEA-2FF662C784B1}"
"Microsoft ASP.NET Diagnostic Pack for Visual Studio","17.10.341.11210","Microsoft Corporation","20240702","MsiExec.exe /X{DD355C4F-121F-3DB2-8404-3F28BFDB955B}"
"Microsoft ASP.NET Core Module V2 for IIS Express","17.0.22116.0","Microsoft Corporation","20240702","MsiExec.exe /X{F0E9CE77-BF19-4BBE-B228-A42F782F82E4}"
"Microsoft ASP.NET Core Module for IIS Express","12.2.18292.0","Microsoft Corporation","20240702","MsiExec.exe /X{FAFEE5E3-E00A-4CE8-B495-8F66A5FAB236}"
"Microsoft ASP.NET Core 8.0.6 Targeting Pack (x86)","8.0.6.24269","Microsoft Corporation","20240702","MsiExec.exe /X{C4996CEE-856F-330D-8336-FBE5780771C4}"
"Microsoft ASP.NET Core 8.0.6 Targeting Pack (x64)","8.0.6.24269","Microsoft Corporation","20240625","MsiExec.exe /X{1D322079-F409-3868-944E-AD06A17806A1}"
"Microsoft ASP.NET Core 8.0.6 Shared Framework (x86)","8.0.6.24269","Microsoft Corporation","20240702","MsiExec.exe /X{834EB8E8-6FB8-3F44-B661-12DAE8FA7AE7}"
"Microsoft ASP.NET Core 8.0.6 Shared Framework (x64)","8.0.6.24269","Microsoft Corporation","20240625","MsiExec.exe /X{4AB1C7BA-2E13-35DB-8D68-F39A670A5F75}"
"Microsoft ASP.NET Core 8.0.4 Targeting Pack (x64)","8.0.4.24170","Microsoft Corporation","20240423","MsiExec.exe /X{8ABE3919-A4FB-3113-9124-FB1FE9BABDC5}"
"Microsoft ASP.NET Core 8.0.4 Shared Framework (x64)","8.0.4.24170","Microsoft Corporation","20240423","MsiExec.exe /X{D68ECBF4-1235-3C2D-A23E-EC2FE2858B14}"
"Microsoft ASP.NET Core 6.0.31 Targeting Pack (x86)","6.0.31.24269","Microsoft Corporation","20240702","MsiExec.exe /X{9B4467EC-1659-3460-AF7F-4D20F686DA84}"
"Microsoft ASP.NET Core 6.0.31 Targeting Pack (x64)","6.0.31.24269","Microsoft Corporation","20240702","MsiExec.exe /X{3D938008-01C4-3077-8FD7-CE0736059E08}"
"Microsoft ASP.NET Core 6.0.31 Shared Framework (x86)","6.0.31.24269","Microsoft Corporation","20240702","MsiExec.exe /X{857E10CE-5980-3637-A17F-AE7DFE335950}"
"Microsoft ASP.NET Core 6.0.31 Shared Framework (x64)","6.0.31.24269","Microsoft Corporation","20240702","MsiExec.exe /X{8193B849-A7C6-3B42-875E-47A118AEF1C4}"
"Microsoft .NET Toolset 8.0.302 (x64)","32.8.36482","Microsoft Corporation","20240625","MsiExec.exe /X{2832CA13-6850-440C-9839-16B2D01909F7}"
"Microsoft .NET Toolset 8.0.204 (x64)","32.7.58285","Microsoft Corporation","20240423","MsiExec.exe /X{D7B7AB78-10FC-4DB0-9904-DD59777CB640}"
"Microsoft .NET Targeting Pack - 8.0.6 (x86)","64.24.15199","Microsoft Corporation","20240702","MsiExec.exe /X{B60135D6-DA09-43E8-B7E1-3E6D3DFADED6}"
"Microsoft .NET Targeting Pack - 8.0.6 (x64)","64.24.15199","Microsoft Corporation","20240625","MsiExec.exe /X{A514DED0-F02D-48FA-8E38-E88652946E47}"
"Microsoft .NET Targeting Pack - 8.0.4 (x64)","64.16.12025","Microsoft Corporation","20240423","MsiExec.exe /X{5DC3A502-9883-4491-87E3-0258DCA17EA1}"
"Microsoft .NET Targeting Pack - 6.0.31 (x86)","48.124.15198","Microsoft Corporation","20240702","MsiExec.exe /X{5BE892DD-083B-40D2-AAE8-891B0DA1B59B}"
"Microsoft .NET Targeting Pack - 6.0.31 (x64)","48.124.15198","Microsoft Corporation","20240702","MsiExec.exe /X{81ED78D2-5E73-4D2B-BBC4-16F10FAE87EB}"
"Microsoft .NET Standard Targeting Pack - 2.1.0 (x64)","24.0.28113","Microsoft Corporation","20240423","MsiExec.exe /X{A7036CFB-B403-4598-85FF-D397ABB88173}"
"Microsoft .NET SDK 8.0.302 (x64) from Visual Studio","8.3.224.28002","Microsoft Corporation","20240702","MsiExec.exe /X{BBDF5D97-8C03-4978-BE1F-D13EAB8D5962}"
"Microsoft .NET SDK 8.0.302 (x64)","8.3.224.28002","Microsoft Corporation",,"""C:\ProgramData\Package Cache\{edc38f90-e61a-4ce9-b8c2-759325351312}\dotnet-sdk-8.0.302-win-x64.exe""  /uninstall"
"Microsoft .NET SDK 8.0.204 (x64)","8.2.424.17037","Microsoft Corporation",,"""C:\ProgramData\Package Cache\{182c79bd-e684-443b-b3f0-1dc904d1567d}\dotnet-sdk-8.0.204-win-x64.exe""  /uninstall"
"Microsoft .NET Runtime - 8.0.6 (x86)","64.24.15199","Microsoft Corporation","20240702","MsiExec.exe /X{DCB30F63-106D-4B5E-A940-088A6E6A76F3}"
"Microsoft .NET Runtime - 8.0.6 (x64)","64.24.15199","Microsoft Corporation","20240625","MsiExec.exe /X{F69305BE-6EFA-45D0-9635-752373304A1A}"
"Microsoft .NET Runtime - 8.0.4 (x64)","64.16.12025","Microsoft Corporation","20240423","MsiExec.exe /X{F03725EC-977F-4425-A568-05D0B3DB9F15}"
"Microsoft .NET Runtime - 6.0.31 (x86)","48.124.15198","Microsoft Corporation","20240702","MsiExec.exe /X{3FF9C48B-C566-448C-A95D-C4862AC74524}"
"Microsoft .NET Runtime - 6.0.31 (x64)","48.124.15198","Microsoft Corporation","20240702","MsiExec.exe /X{0950F07D-F1C4-47A5-AC88-C5FAA5DC564D}"
"Microsoft .NET Native SDK","15.0.24211.07","Microsoft Corporation","20240702","MsiExec.exe /I{EF0C772D-F5E3-36D0-BDAB-FD378533CD40}"
